"","egal1","egal2","egal3","egal","indiv1","indiv2","indiv3","indiv","hier1","hier2","hier3","hier","fatal1","fatal2","fatal3","fatal","nep2","nep3","nep6","nepScale","ideology","partisan","happening","risk","sciconsensus","IntAgree","Renew","Nuclear","Tax","EPA","CapTrade","GeoEng"
"1058",7,7,7,7,1,1,1,1,1,1,4,2,1,4,4,3,7,4,7,5,2,2,2,10,1,7,7,1,7,7,7,7
"1059",6,5,4,5,5,4,6,5,4,6,6,5,3,6,6,5,5,3,7,4,2,3,3,9,0,6,7,4,6,7,6,5
"1060",6,6,6,6,2,3,4,3,5,3,3,4,1,1,1,1,6,6,6,6,2,1,3,8,1,7,7,1,7,7,7,7
"1061",4,4,5,4,5,3,3,4,4,5,5,5,4,5,3,4,7,6,6,6,6,6,2,6,1,5,7,4,3,6,3,5
"1062",3,6,1,3,5,4,6,5,7,5,6,6,3,2,3,3,6,4,4,4,6,7,0,6,0,4,6,4,4,5,3,5
"1063",1,3,1,2,4,4,4,4,5,5,6,5,3,6,4,4,2,2,3,3,6,6,-3,3,0,1,4,7,1,1,2,5
"1064",4,7,2,4,4,5,4,4,5,3,3,4,3,4,1,3,7,6,7,6,2,4,4,10,1,7,7,7,7,7,7,7
"1065",1,4,2,2,6,7,1,5,6,2,5,4,1,1,1,1,7,7,7,7,4,4,4,10,1,7,7,7,4,6,3,7
"1066",7,4,5,5,5,7,5,6,7,6,6,6,3,6,4,4,7,6,5,5,4,4,3,9,0,6,7,4,6,6,6,7
"1067",1,5,1,2,4,2,5,4,3,4,2,3,1,3,3,2,3,2,4,3,5,4,-2,3,0,2,6,4,2,3,3,6
"1068",7,6,7,7,7,6,1,5,5,6,6,6,1,7,1,3,6,1,7,4,4,4,4,10,0,7,6,1,7,7,6,7
"1069",5,7,5,6,7,7,6,7,6,6,7,6,7,6,6,6,7,7,6,5,2,1,4,10,1,6,6,5,7,6,7,6
"1070",6,5,7,6,2,2,3,2,3,1,1,2,3,4,3,3,6,5,7,6,2,2,4,9,1,7,7,3,6,7,6,6
"1071",6,5,4,5,1,1,1,1,5,6,4,5,1,4,1,2,4,4,4,4,4,2,1,5,1,4,4,4,4,4,4,4
"1072",5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,5,1,1,2,5,0,4,4,4,4,4,4,4
"1073",7,6,5,6,3,7,1,4,7,7,4,6,6,1,1,3,7,7,5,4,4,7,4,7,1,7,7,5,5,6,7,7
"1074",5,6,5,5,4,5,4,4,5,6,4,5,4,5,4,4,7,1,7,6,5,6,4,10,1,7,7,2,7,7,5,7
"1075",5,6,6,6,6,6,4,5,6,2,2,3,2,5,3,3,6,6,7,6,5,6,4,9,1,7,7,6,7,7,6,4
"1076",6,7,7,7,7,7,7,7,6,4,7,6,7,1,4,4,7,7,7,4,4,7,4,10,1,7,7,7,7,7,7,7
"1077",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,7,2,8,0,5,5,5,6,5,5,5
"1078",3,3,2,3,6,5,6,6,4,5,7,5,4,1,2,2,5,3,5,4,5,6,2,7,1,6,7,5,6,7,3,7
"1079",3,5,4,4,6,4,5,5,2,5,6,4,1,5,2,3,7,4,5,4,5,5,3,6,1,3,7,1,2,3,5,5
"1080",5,4,7,5,6,7,7,7,7,7,7,7,4,7,6,6,7,4,7,5,6,7,3,10,1,7,7,3,5,7,7,7
"1081",2,4,2,3,5,4,5,5,5,5,4,5,2,3,2,2,4,6,4,4,5,6,0,6,0,4,6,4,4,5,4,5
"1082",2,4,2,3,6,5,4,5,5,7,7,6,2,4,2,3,5,6,5,5,6,6,0,5,0,4,5,5,3,4,3,6
"1083",1,1,3,2,2,2,4,3,1,5,4,3,1,1,1,1,5,4,6,4,6,6,-2,6,0,3,7,6,6,5,7,5
"1084",3,7,2,4,3,3,3,3,5,4,4,4,2,2,6,3,5,5,6,6,6,4,4,9,1,7,7,2,4,7,6,7
"1085",4,6,5,5,3,2,2,2,4,3,4,4,1,4,2,2,5,4,5,4,4,4,3,8,1,5,7,2,7,7,6,7
"1086",5,6,5,5,2,3,2,2,4,2,5,4,1,1,1,1,6,4,6,5,5,4,4,7,1,5,7,7,6,7,7,7
